activity_id,kind,name,llm_value,human_value
activity:d56f72c1e1d90c53,participant,润德盈喜,,
activity:d56f72c1e1d90c53,participant,米聚资产,,
activity:d56f72c1e1d90c53,participant,广西投资,,
activity:d56f72c1e1d90c53,participant,江西银行,,
activity:b0e383c9d2999197,participant,财通证券,,
activity:a730034f46f711ee,participant,鹏华基金,,
activity:a730034f46f711ee,participant,国海证券,,
activity:2c2b006a4f0b5dc2,participant,国盛证券,,
activity:992763c006c4dd31,participant,苏豪投资,,
activity:992763c006c4dd31,participant,方正证券,,
activity:992763c006c4dd31,participant,长江证券,,
activity:992763c006c4dd31,participant,华福证券,,
activity:992763c006c4dd31,participant,国海证券,,
activity:992763c006c4dd31,participant,东方证券,,
activity:992763c006c4dd31,participant,诚通基金,,
activity:992763c006c4dd31,participant,华龙证券股份有限公司,,
activity:992763c006c4dd31,participant,国联民生,,
activity:992763c006c4dd31,participant,中信证券股份有限公司,,
activity:3cf269c858dd7e0d,participant,建信基金,,
activity:3cf269c858dd7e0d,participant,宝盈基金,,
activity:3cf269c858dd7e0d,participant,国海证券,,
activity:3cf269c858dd7e0d,participant,国金基金,,
activity:3cf269c858dd7e0d,participant,泓德基金,,
activity:3cf269c858dd7e0d,participant,禅龙资产,,
activity:3cf269c858dd7e0d,participant,财通资管,,
activity:3cf269c858dd7e0d,participant,西部证券,,
activity:3cf269c858dd7e0d,participant,泰康资产管理有限责任公司,,
activity:3c26545edd5add9d,participant,Panview Capital,,
activity:3c26545edd5add9d,participant,Canada Pension Plan,,
activity:3c26545edd5add9d,participant,Nomura,,
activity:3c26545edd5add9d,participant,Vision Point,,
activity:3c26545edd5add9d,participant,Y2Capital,,
activity:3c26545edd5add9d,participant,Boyu Capital,,
activity:3c26545edd5add9d,participant,Keywise Capital,,
activity:3c26545edd5add9d,participant,L&R Capital,,
activity:3c26545edd5add9d,participant,Ubs Asset,,
activity:3c26545edd5add9d,participant,Pleiad Investment,,
activity:3c26545edd5add9d,participant,Bluecrest Capital,,
activity:3c26545edd5add9d,participant,Dymon Asia,,
activity:3c26545edd5add9d,participant,China Investment Corporation,,
activity:3c26545edd5add9d,participant,Bofa,,
activity:3c26545edd5add9d,participant,3W Fund,,
activity:3c26545edd5add9d,participant,Grand Alliance,,
activity:3c26545edd5add9d,participant,Ariose Capital,,
activity:3c26545edd5add9d,participant,Vennlight Capital,,
activity:3c26545edd5add9d,participant,Optimas Capital,,
activity:3c26545edd5add9d,participant,Ovata Capital,,
activity:3c26545edd5add9d,participant,Greenwoods,,
activity:3c26545edd5add9d,participant,Fact Capital,,
activity:3c26545edd5add9d,participant,Harding Loevner,,
activity:3c26545edd5add9d,participant,Millennium Partners,,
activity:3c26545edd5add9d,participant,Berman Group,,
activity:3c26545edd5add9d,participant,Strategic Advisors,,
activity:3c26545edd5add9d,participant,Mawer Investment,,
activity:3c26545edd5add9d,participant,Paradice Investment,,
activity:3c26545edd5add9d,participant,Manulife Investment,,
activity:3c26545edd5add9d,participant,Taiping Insurance,,
activity:3c26545edd5add9d,participant,Polymer Capital,,
activity:3c26545edd5add9d,participant,Torito Capital,,
activity:3c26545edd5add9d,participant,pinpoint,,
activity:3c26545edd5add9d,participant,Verition Fund,,
activity:3c26545edd5add9d,participant,Cathay Financial,,
activity:159b20a681df5ca9,participant,煜德投资,,
activity:159b20a681df5ca9,participant,旌安资产管理(香港)有限公司,,
activity:159b20a681df5ca9,participant,蜂巢基金,,
activity:159b20a681df5ca9,participant,东方红资产管理,,
activity:159b20a681df5ca9,participant,银河基金管理有限公司,,
activity:159b20a681df5ca9,participant,上海大筝资产管理有限公司,,
activity:159b20a681df5ca9,participant,朱雀基金管理有限公司,,
activity:159b20a681df5ca9,participant,北京京港伟业投资有限公司,,
activity:159b20a681df5ca9,participant,上海复胜资产管理合伙企业（有限合伙,,
activity:159b20a681df5ca9,participant,上海弥远投资管理,,
activity:159b20a681df5ca9,participant,北京致顺投资管理有限公司,,
activity:159b20a681df5ca9,participant,翎贲(深圳)私募股权基金管理有限公司,,
activity:159b20a681df5ca9,participant,信远正合(杭州)私募基金管理有限公司,,
activity:159b20a681df5ca9,participant,中天证券股份有限公司,,
activity:159b20a681df5ca9,participant,浙江益恒投资管理,,
activity:159b20a681df5ca9,participant,北京三棱时代科技有限公司,,
activity:159b20a681df5ca9,participant,西藏源乐晟资产管理有限公司,,
activity:159b20a681df5ca9,participant,歌汝私募,,
activity:159b20a681df5ca9,participant,上海道仁资产管理有限公司,,
activity:159b20a681df5ca9,participant,友邦人寿保险有限公司,,
activity:159b20a681df5ca9,participant,鹏华基金管理有限公司,,
activity:159b20a681df5ca9,participant,湖南万泰华瑞投资管理有限责任公司,,
activity:159b20a681df5ca9,participant,工银理财有限责任公司,,
activity:159b20a681df5ca9,participant,宏利基金,,
activity:159b20a681df5ca9,participant,景林资产,,
activity:159b20a681df5ca9,participant,建信基金管理,,
activity:159b20a681df5ca9,participant,重庆诺鼎资产管理有限公司,,
activity:159b20a681df5ca9,participant,百年保险资产管理有限责任公司,,
activity:159b20a681df5ca9,participant,申万菱信基金管理有限公司,,
activity:159b20a681df5ca9,participant,北京磐泽资产管理有限公司,,
activity:159b20a681df5ca9,participant,姚泾河私募,,
activity:159b20a681df5ca9,participant,农银金融资产投资有限公司,,
activity:159b20a681df5ca9,participant,淡水泉(北京)投资管理,,
activity:159b20a681df5ca9,participant,国寿安保基金管理有限公司,,
activity:159b20a681df5ca9,participant,上海高毅资产管理合伙企业(有限合伙,,
activity:159b20a681df5ca9,participant,农银汇理基金管理有限公司,,
activity:159b20a681df5ca9,participant,东吴证券,,
activity:159b20a681df5ca9,participant,泓德基金管理有限公司,,
activity:159b20a681df5ca9,participant,润洲私募基金,,
activity:159b20a681df5ca9,participant,四川振兴嘉杰私募证券投资基金管理有限公司,,
activity:159b20a681df5ca9,participant,禾永投资管理(北京)有限公司,,
activity:159b20a681df5ca9,participant,国盛证券,,
activity:159b20a681df5ca9,participant,北京金百镕投资管理,,
activity:159b20a681df5ca9,participant,万家基金管理有限公司,,
activity:159b20a681df5ca9,participant,深圳市中欧瑞博投资管理,,
activity:159b20a681df5ca9,participant,民生基金管理有限公司,,
activity:159b20a681df5ca9,participant,淡水泉,,
activity:159b20a681df5ca9,participant,招银金融资产投资有限公司,,
activity:159b20a681df5ca9,participant,平安资产管理,,
activity:159b20a681df5ca9,participant,北京信复创值投资,,
activity:159b20a681df5ca9,participant,天风证券股份有限公司上海证券自营分公司,,
activity:159b20a681df5ca9,participant,汐泰投资,,
activity:159b20a681df5ca9,participant,方正证券,,
activity:159b20a681df5ca9,participant,3. Briliance Capital,,
activity:159b20a681df5ca9,participant,国金证券,,
activity:159b20a681df5ca9,participant,天弘基金管理有限公司,,
activity:159b20a681df5ca9,participant,震裕科技,,
activity:159b20a681df5ca9,participant,长江证券,,
activity:159b20a681df5ca9,participant,中信建投证券股份有限公司,,
activity:159b20a681df5ca9,participant,上海齐熙投资管理有限公司,,
activity:159b20a681df5ca9,participant,民生证券股份有限公司,,
activity:159b20a681df5ca9,participant,华金证券,,
activity:159b20a681df5ca9,participant,国联民生证券,,
activity:159b20a681df5ca9,participant,汇丰前海证券,,
activity:159b20a681df5ca9,participant,上海晨燕资产管理中心(有限合伙,,
activity:159b20a681df5ca9,participant,工银瑞信基金,,
activity:159b20a681df5ca9,participant,交银投资,,
activity:159b20a681df5ca9,participant,东方证券资产管理有限公司,,
activity:159b20a681df5ca9,participant,上海同犇投资管理中心(有限合伙,,
activity:159b20a681df5ca9,participant,华福证券,,
activity:159b20a681df5ca9,participant,北京鑫碳科技有限公司,,
activity:159b20a681df5ca9,participant,Point72,,
activity:159b20a681df5ca9,participant,上海盘京投资管理中心(有限合伙,,
activity:159b20a681df5ca9,participant,华安证券,,
activity:159b20a681df5ca9,participant,华创证券,,
activity:159b20a681df5ca9,participant,上海紫阁投资管理有限公司,,
activity:159b20a681df5ca9,participant,长信基金,,
activity:159b20a681df5ca9,participant,鲍尔赛嘉(上海)投资管理有限公司,,
activity:159b20a681df5ca9,participant,国海证券,,
activity:159b20a681df5ca9,participant,长江养老,,
activity:159b20a681df5ca9,participant,平安银行,,
activity:159b20a681df5ca9,participant,建信金投私募基金管理（北京）有限公司,,
activity:159b20a681df5ca9,participant,申银万国证券研究所有限公司,,
activity:159b20a681df5ca9,participant,博道基金管理有限公司,,
activity:159b20a681df5ca9,participant,交银基金,,
activity:159b20a681df5ca9,participant,宁波宝隽资产管理有限公司,,
activity:159b20a681df5ca9,participant,宁银理财有限责任公司,,
activity:159b20a681df5ca9,participant,国海富兰克林,,
activity:159b20a681df5ca9,participant,12. LyGH Capital,,
activity:159b20a681df5ca9,participant,东方证券,,
activity:159b20a681df5ca9,participant,中信保诚基金管理有限公司,,
activity:159b20a681df5ca9,participant,上海常春藤私募基金管理有限公司,,
activity:159b20a681df5ca9,participant,长盛基金管理有限公司,,
activity:159b20a681df5ca9,participant,上海胤胜资产管理有限公司,,
activity:159b20a681df5ca9,participant,上海兆顺私募基金管理有限公司,,
activity:159b20a681df5ca9,participant,国泰海通证券,,
activity:159b20a681df5ca9,participant,淡水泉(香港)投资管理有限公司,,
activity:159b20a681df5ca9,participant,华泰证券(上海)资产管理有限公司,,
activity:159b20a681df5ca9,participant,中泰证券,,
activity:159b20a681df5ca9,participant,西部利得基金管理有限公司,,
activity:159b20a681df5ca9,participant,2. Aspoon Capital,,
activity:159b20a681df5ca9,participant,杭州信益科技有限公司,,
activity:159b20a681df5ca9,participant,大筝资管,,
activity:159b20a681df5ca9,participant,永赢基金管理公司,,
activity:159b20a681df5ca9,participant,宁波圆合金融控股有限公司,,
activity:159b20a681df5ca9,participant,中国农业银行股份有限公司,,
activity:159b20a681df5ca9,participant,长江证券(上海)资产管理,,
activity:159b20a681df5ca9,participant,信达澳亚,,
activity:159b20a681df5ca9,participant,诺德基金管理有限公司,,
activity:159b20a681df5ca9,participant,泉果基金管理有限公司,,
activity:159b20a681df5ca9,participant,浙商证券,,
activity:159b20a681df5ca9,participant,北京宏道投资管理,,
activity:159b20a681df5ca9,participant,上海行知创投,,
activity:159b20a681df5ca9,participant,上海运舟私募基金管理有限公司,,
activity:159b20a681df5ca9,participant,建信养老金公司,,
activity:159b20a681df5ca9,participant,景顺纵横投资管理(上海)有限公司,,
activity:159b20a681df5ca9,participant,景顺长城基金管理有限公司,,
activity:159b20a681df5ca9,participant,博时基金管理有限公司,,
activity:159b20a681df5ca9,participant,平安基金,,
activity:159b20a681df5ca9,participant,国联,,
activity:159b20a681df5ca9,participant,财通证券,,
activity:159b20a681df5ca9,participant,景顺投资管理,,
activity:159b20a681df5ca9,participant,瓴仁投资,,
activity:159b20a681df5ca9,participant,杭州红骅投资管理,,
activity:159b20a681df5ca9,participant,大成基金,,
activity:159b20a681df5ca9,participant,诺安基金管理有限公司,,
activity:159b20a681df5ca9,participant,兴银基金,,
activity:159b20a681df5ca9,participant,上海彤源投资发展有限公司,,
activity:159b20a681df5ca9,participant,甬兴证券,,
activity:159b20a681df5ca9,participant,上海嘉世私募基金管理有限公司,,
activity:159b20a681df5ca9,participant,上海原点资产管理有限公司,,
activity:159b20a681df5ca9,participant,上海和谐汇一资产管理有限公司,,
activity:159b20a681df5ca9,participant,东北证券,,
activity:159b20a681df5ca9,participant,德邦基金管理有限公司,,
activity:159b20a681df5ca9,participant,恒越基金管理有限公司,,
activity:159b20a681df5ca9,participant,中欧基金,,
activity:159b20a681df5ca9,participant,九玖衡信私募基金管理有限公司,,
activity:159b20a681df5ca9,participant,北京凯思博投资管理有限公司,,
activity:159b20a681df5ca9,participant,华商基金管理有限公司,,
activity:159b20a681df5ca9,participant,平安养老保险股份有限公司,,
activity:159b20a681df5ca9,participant,华宝基金管理有限公司,,
activity:159b20a681df5ca9,participant,康曼德资本,,
activity:159b20a681df5ca9,participant,交银理财,,
activity:159b20a681df5ca9,participant,融通基金管理有限公司,,
activity:159b20a681df5ca9,participant,上海涌乐私募基金管理有限公司,,
activity:159b20a681df5ca9,participant,国信证券,,
activity:159b20a681df5ca9,participant,国泰基金管理有限公司,,
activity:159b20a681df5ca9,participant,兴业证券,,
activity:159b20a681df5ca9,participant,上海聆泽私募基金管理有限公司,,
activity:159b20a681df5ca9,participant,国联基金管理有限公司,,
activity:159b20a681df5ca9,participant,浙江浙商证券资产管理有限公司,,
activity:159b20a681df5ca9,participant,1. Aspex Management (HK) Limited,,
activity:159b20a681df5ca9,participant,建信保险资产管理有限公司,,
activity:159b20a681df5ca9,participant,中海基金管理有限公司,,
activity:159b20a681df5ca9,participant,上海重阳投资管理,,
activity:159b20a681df5ca9,participant,浙江旌安私募基金有限公司,,
activity:159b20a681df5ca9,participant,太平资产管理有限公司,,
activity:159b20a681df5ca9,participant,中国工商银行,,
activity:159b20a681df5ca9,participant,上海磐安资产管理中心(有限合伙,,
activity:159b20a681df5ca9,participant,上海兆顺私募基金,,
